code	your_id	pre_workshop	exercise_1	exercise_2	exercise_3	summative
MI5	6, go, del	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
EY0	1sh110	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
OP1	3262	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
IJ1	0krcon	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
NZ8	1bunor	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
IX0	5newea	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
UU9	2micar	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
JZ1	0spqua	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
ZI9	0hacar	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
RW1	0garbc	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
US9	2tacaz	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
DS0	0hacum	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
YR2	3kusou	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
WW8	2hagra	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
YI6	2wispr	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
PD8	4nimad	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
RM7	7vjx	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
YQ3	6chhom	https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
IS6		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
QB3		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
OK5		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
KJ2		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
AX9		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
KA1		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
BG6		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
QV8		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
WE9		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
IK3		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
SP6		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
KZ2		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
DN5		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
ST5		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
IL7		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
ZH2		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
BR2		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
QN5		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
AS0		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
VG0		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
WD9		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
SM3		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
PK3		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
MK1		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
WD8		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
KA4		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
JX3		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
WH1		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
UY6		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
GT2		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
GW2		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
PH7		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
VF0		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
CV7		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
JG6		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
PM1		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
EH4		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
BL8		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
FX7		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/mnUFNhe	https://bit.ly/3Hyaocf	https://bit.ly/3HBrEO2	https://bit.ly/ds4biomed-p4-sum
OX3		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/30FsIj5	https://bit.ly/3HAKeFJ	https://bit.ly/3wZQ9zb	https://bit.ly/ds4biomed-p4-sum
OH5		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/ffpMgM8	https://bit.ly/RBjn3Zn	https://bit.ly/rQvqRg6	https://bit.ly/ds4biomed-p4-sum
ZF1		https://bit.ly/ds4biomed-p4-preworkshop	https://bit.ly/3nq0yB3	https://bit.ly/30B8DtH	https://bit.ly/3wXF2qx	https://bit.ly/ds4biomed-p4-sum
