block identifier,block size,sequence within block,treatment,code
1,10,1,Group 4,MI5
1,10,2,Group 3,EY0
1,10,3,Group 3,OP1
1,10,4,Group 1,IJ1
1,10,5,Group 1,NZ8
1,10,6,Group 2,IX0
1,10,7,Group 4,UU9
1,10,8,Group 3,JZ1
1,10,9,Group 3,ZI9
1,10,10,Group 2,RW1
2,10,1,Group 4,US9
2,10,2,Group 1,DS0
2,10,3,Group 2,YR2
2,10,4,Group 2,WW8
2,10,5,Group 3,YI6
2,10,6,Group 3,PD8
2,10,7,Group 3,RM7
2,10,8,Group 1,YQ3
2,10,9,Group 4,IS6
2,10,10,Group 3,QB3
3,10,1,Group 2,OK5
3,10,2,Group 3,KJ2
3,10,3,Group 4,AX9
3,10,4,Group 1,KA1
3,10,5,Group 3,BG6
3,10,6,Group 3,QV8
3,10,7,Group 1,WE9
3,10,8,Group 3,IK3
3,10,9,Group 2,SP6
3,10,10,Group 4,KZ2
4,10,1,Group 4,DN5
4,10,2,Group 3,ST5
4,10,3,Group 2,IL7
4,10,4,Group 1,ZH2
4,10,5,Group 3,BR2
4,10,6,Group 3,QN5
4,10,7,Group 1,AS0
4,10,8,Group 3,VG0
4,10,9,Group 2,WD9
4,10,10,Group 4,SM3
5,10,1,Group 3,PK3
5,10,2,Group 2,MK1
5,10,3,Group 3,WD8
5,10,4,Group 3,KA4
5,10,5,Group 1,JX3
5,10,6,Group 4,WH1
5,10,7,Group 4,UY6
5,10,8,Group 3,GT2
5,10,9,Group 2,GW2
5,10,10,Group 1,PH7
6,10,1,Group 1,VF0
6,10,2,Group 2,CV7
6,10,3,Group 1,JG6
6,10,4,Group 3,PM1
6,10,5,Group 3,EH4
6,10,6,Group 3,BL8
6,10,7,Group 4,FX7
6,10,8,Group 3,OX3
6,10,9,Group 2,OH5
6,10,10,Group 4,ZF1
7,10,1,Group 4,WY4
7,10,2,Group 1,IJ7
7,10,3,Group 4,OO3
7,10,4,Group 3,ZF9
7,10,5,Group 2,BM9
7,10,6,Group 1,KG8
7,10,7,Group 3,KY3
7,10,8,Group 3,OD0
7,10,9,Group 3,FC5
7,10,10,Group 2,DS8
8,10,1,Group 2,PA4
8,10,2,Group 1,NZ0
8,10,3,Group 4,VM7
8,10,4,Group 3,OZ5
8,10,5,Group 2,EV3
8,10,6,Group 1,GO1
8,10,7,Group 3,CR4
8,10,8,Group 3,YI0
8,10,9,Group 4,CO5
8,10,10,Group 3,CG2
9,10,1,Group 3,ZC1
9,10,2,Group 1,HH8
9,10,3,Group 3,OX7
9,10,4,Group 4,NO1
9,10,5,Group 3,IT5
9,10,6,Group 3,CA3
9,10,7,Group 2,RL9
9,10,8,Group 2,SE7
9,10,9,Group 1,ZF0
9,10,10,Group 4,SB5
10,10,1,Group 1,WD5
10,10,2,Group 3,FD0
10,10,3,Group 2,VG9
10,10,4,Group 3,JO1
10,10,5,Group 4,FW9
10,10,6,Group 2,WD7
10,10,7,Group 3,TH7
10,10,8,Group 4,UZ3
10,10,9,Group 1,QM2
10,10,10,Group 3,YL4
11,10,1,Group 1,QI8
11,10,2,Group 4,CH1
11,10,3,Group 3,ZZ5
11,10,4,Group 3,HY0
11,10,5,Group 4,JG8
11,10,6,Group 3,BW8
11,10,7,Group 1,CI1
11,10,8,Group 3,JF3
11,10,9,Group 2,QI5
11,10,10,Group 2,XZ8
12,10,1,Group 2,QT4
12,10,2,Group 1,HH9
12,10,3,Group 2,JZ4
12,10,4,Group 3,JQ8
12,10,5,Group 4,OK0
12,10,6,Group 4,KC5
12,10,7,Group 1,BM2
12,10,8,Group 3,DT9
12,10,9,Group 3,TY8
12,10,10,Group 3,JQ9
13,10,1,Group 2,YR1
13,10,2,Group 4,MO4
13,10,3,Group 2,UP8
13,10,4,Group 3,JQ1
