block identifier,block size,sequence within block,treatment,rand_id,code
3,8,3,Group 1,1,IS6
3,8,4,Group 2,2,QB3
3,8,5,Group 3,3,OK5
3,8,6,Group 4,4,KJ2
3,8,7,Group 4,5,AX9
3,8,8,Group 1,6,KA1
1,10,1,Group 4,7,MI5
1,10,2,Group 3,8,EY0
1,10,3,Group 3,9,OP1
1,10,4,Group 1,10,IJ1
1,10,5,Group 1,11,NZ8
1,10,6,Group 2,12,IX0
1,10,7,Group 4,13,UU9
1,10,8,Group 3,14,JZ1
1,10,9,Group 3,15,ZI9
1,10,10,Group 2,16,RW1
2,10,1,Group 4,17,US9
2,10,2,Group 1,18,DS0
2,10,3,Group 2,19,YR2
2,10,4,Group 2,20,WW8
2,10,5,Group 3,21,YI6
2,10,6,Group 3,22,PD8
2,10,7,Group 3,23,RM7
2,10,8,Group 1,24,YQ3
2,10,9,Group 4,25,IS6
2,10,10,Group 3,26,QB3
3,10,1,Group 2,27,OK5
3,10,2,Group 3,28,KJ2
3,10,3,Group 4,29,AX9
3,10,4,Group 1,30,KA1
3,10,5,Group 3,31,BG6
3,10,6,Group 3,32,QV8
3,10,7,Group 1,33,WE9
3,10,8,Group 3,34,IK3
3,10,9,Group 2,35,SP6
3,10,10,Group 4,36,KZ2
4,10,1,Group 4,37,DN5
4,10,2,Group 3,38,ST5
4,10,3,Group 2,39,IL7
4,10,4,Group 1,40,ZH2
4,10,5,Group 3,41,BR2
4,10,6,Group 3,42,QN5
4,10,7,Group 1,43,AS0
4,10,8,Group 3,44,VG0
4,10,9,Group 2,45,WD9
4,10,10,Group 4,46,SM3
5,10,1,Group 3,47,PK3
5,10,2,Group 2,48,MK1
5,10,3,Group 3,49,WD8
5,10,4,Group 3,50,KA4
5,10,5,Group 1,51,JX3
5,10,6,Group 4,52,WH1
5,10,7,Group 4,53,UY6
5,10,8,Group 3,54,GT2
5,10,9,Group 2,55,GW2
5,10,10,Group 1,56,PH7
6,10,1,Group 1,57,VF0
6,10,2,Group 2,58,CV7
6,10,3,Group 1,59,JG6
6,10,4,Group 3,60,PM1
6,10,5,Group 3,61,EH4
6,10,6,Group 3,62,BL8
6,10,7,Group 4,63,FX7
6,10,8,Group 3,64,OX3
6,10,9,Group 2,65,OH5
6,10,10,Group 4,66,ZF1
7,10,1,Group 4,67,WY4
7,10,2,Group 1,68,IJ7
7,10,3,Group 4,69,OO3
7,10,4,Group 3,70,ZF9
7,10,5,Group 2,71,BM9
7,10,6,Group 1,72,KG8
7,10,7,Group 3,73,KY3
7,10,8,Group 3,74,OD0
7,10,9,Group 3,75,FC5
7,10,10,Group 2,76,DS8
8,10,1,Group 2,77,PA4
8,10,2,Group 1,78,NZ0
8,10,3,Group 4,79,VM7
8,10,4,Group 3,80,OZ5
8,10,5,Group 2,81,EV3
8,10,6,Group 1,82,GO1
8,10,7,Group 3,83,CR4
8,10,8,Group 3,84,YI0
8,10,9,Group 4,85,CO5
8,10,10,Group 3,86,CG2
9,10,1,Group 3,87,ZC1
