block identifier,block size,sequence within block,treatment,code
1,8,1,Group 4,MI5
1,8,2,Group 3,EY0
1,8,3,Group 2,OP1
1,8,4,Group 1,IJ1
1,8,5,Group 1,NZ8
1,8,6,Group 2,IX0
1,8,7,Group 4,UU9
1,8,8,Group 3,JZ1
2,8,1,Group 1,ZI9
2,8,2,Group 4,RW1
2,8,3,Group 3,US9
2,8,4,Group 2,DS0
2,8,5,Group 1,YR2
2,8,6,Group 2,WW8
2,8,7,Group 3,YI6
2,8,8,Group 4,PD8
3,8,1,Group 2,RM7
3,8,2,Group 3,YQ3
3,8,3,Group 1,IS6
3,8,4,Group 2,QB3
3,8,5,Group 3,OK5
3,8,6,Group 4,KJ2
3,8,7,Group 4,AX9
3,8,8,Group 1,KA1
4,8,1,Group 3,BG6
4,8,2,Group 1,QV8
4,8,3,Group 3,WE9
4,8,4,Group 1,IK3
4,8,5,Group 2,SP6
4,8,6,Group 4,KZ2
4,8,7,Group 4,DN5
4,8,8,Group 2,ST5
5,8,1,Group 1,IL7
5,8,2,Group 3,ZH2
5,8,3,Group 2,BR2
5,8,4,Group 1,QN5
5,8,5,Group 3,AS0
5,8,6,Group 2,VG0
5,8,7,Group 4,WD9
5,8,8,Group 4,SM3
6,8,1,Group 2,PK3
6,8,2,Group 3,MK1
6,8,3,Group 3,WD8
6,8,4,Group 1,KA4
6,8,5,Group 4,JX3
6,8,6,Group 4,WH1
6,8,7,Group 2,UY6
6,8,8,Group 1,GT2
7,8,1,Group 4,GW2
7,8,2,Group 1,PH7
7,8,3,Group 2,VF0
7,8,4,Group 1,CV7
7,8,5,Group 3,JG6
7,8,6,Group 3,PM1
7,8,7,Group 2,EH4
7,8,8,Group 4,BL8
8,8,1,Group 2,FX7
8,8,2,Group 3,OX3
8,8,3,Group 1,OH5
8,8,4,Group 4,ZF1
8,8,5,Group 1,WY4
8,8,6,Group 4,IJ7
8,8,7,Group 3,OO3
8,8,8,Group 2,ZF9
9,8,1,Group 4,BM9
9,8,2,Group 3,KG8
9,8,3,Group 3,KY3
9,8,4,Group 2,OD0
9,8,5,Group 1,FC5
9,8,6,Group 2,DS8
9,8,7,Group 1,PA4
9,8,8,Group 4,NZ0
10,8,1,Group 2,VM7
10,8,2,Group 1,OZ5
10,8,3,Group 2,EV3
10,8,4,Group 3,GO1
10,8,5,Group 4,CR4
10,8,6,Group 3,YI0
10,8,7,Group 4,CO5
10,8,8,Group 1,CG2
11,8,1,Group 3,ZC1
11,8,2,Group 4,HH8
11,8,3,Group 2,OX7
11,8,4,Group 3,NO1
11,8,5,Group 1,IT5
11,8,6,Group 2,CA3
11,8,7,Group 1,RL9
11,8,8,Group 4,SE7
12,8,1,Group 1,ZF0
12,8,2,Group 3,SB5
12,8,3,Group 2,WD5
12,8,4,Group 3,FD0
12,8,5,Group 4,VG9
12,8,6,Group 1,JO1
12,8,7,Group 2,FW9
12,8,8,Group 4,WD7
13,8,1,Group 1,TH7
13,8,2,Group 2,UZ3
13,8,3,Group 1,QM2
13,8,4,Group 4,YL4
13,8,5,Group 4,QI8
13,8,6,Group 3,CH1
13,8,7,Group 3,ZZ5
13,8,8,Group 2,HY0
14,8,1,Group 4,JG8
14,8,2,Group 2,BW8
14,8,3,Group 3,CI1
14,8,4,Group 4,JF3
14,8,5,Group 1,QI5
14,8,6,Group 1,XZ8
14,8,7,Group 2,QT4
14,8,8,Group 3,HH9
15,8,1,Group 4,JZ4
15,8,2,Group 1,JQ8
15,8,3,Group 3,OK0
15,8,4,Group 2,KC5
15,8,5,Group 1,BM2
15,8,6,Group 2,DT9
15,8,7,Group 3,TY8
15,8,8,Group 4,JQ9
16,8,1,Group 3,YR1
16,8,2,Group 3,MO4
16,8,3,Group 2,UP8
16,8,4,Group 4,JQ1
16,8,5,Group 4,NW3
16,8,6,Group 1,PB6
16,8,7,Group 1,UP1
16,8,8,Group 2,RR4
17,8,1,Group 1,EM6
17,8,2,Group 3,WW4
17,8,3,Group 3,XY8
17,8,4,Group 1,QX2
17,8,5,Group 2,BG4
17,8,6,Group 4,MO2
17,8,7,Group 2,CD3
17,8,8,Group 4,FE3
18,8,1,Group 4,QK2
18,8,2,Group 1,OX9
18,8,3,Group 3,PC1
18,8,4,Group 3,JD3
18,8,5,Group 1,US6
18,8,6,Group 4,QQ9
18,8,7,Group 2,UE6
18,8,8,Group 2,GG0
19,8,1,Group 3,OT9
19,8,2,Group 1,XM3
19,8,3,Group 4,MY6
19,8,4,Group 2,UQ7
19,8,5,Group 1,NW6
19,8,6,Group 2,PN4
19,8,7,Group 4,WP8
19,8,8,Group 3,UY9
20,8,1,Group 3,DV8
20,8,2,Group 1,VG7
20,8,3,Group 3,TJ0
20,8,4,Group 1,FS4
20,8,5,Group 4,HL7
20,8,6,Group 2,QI1
20,8,7,Group 4,TH9
20,8,8,Group 2,KJ1
21,8,1,Group 1,DG0
21,8,2,Group 4,SH1
21,8,3,Group 4,LZ4
21,8,4,Group 2,BA4
21,8,5,Group 3,QR6
21,8,6,Group 3,NF9
21,8,7,Group 2,FE8
21,8,8,Group 1,MH1
22,8,1,Group 1,GS6
22,8,2,Group 4,RA2
22,8,3,Group 4,KC6
22,8,4,Group 3,SX6
22,8,5,Group 2,IS2
22,8,6,Group 2,PQ5
22,8,7,Group 3,OX6
22,8,8,Group 1,TM3
23,8,1,Group 4,BU0
23,8,2,Group 3,OK8
23,8,3,Group 1,HH5
23,8,4,Group 1,IB3
23,8,5,Group 4,KC1
23,8,6,Group 2,QK4
23,8,7,Group 2,GQ7
23,8,8,Group 3,QV5
24,8,1,Group 1,FO9
24,8,2,Group 2,IL5
24,8,3,Group 3,BD1
24,8,4,Group 4,IH2
24,8,5,Group 3,SB3
24,8,6,Group 1,BG9
24,8,7,Group 4,YY8
24,8,8,Group 2,BA8
25,8,1,Group 3,US0
25,8,2,Group 3,HK7
25,8,3,Group 4,UZ6
25,8,4,Group 2,JD7
25,8,5,Group 2,AL3
25,8,6,Group 1,XW0
25,8,7,Group 1,VL4
25,8,8,Group 4,BY5
