id_person	id_response	StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	Q1.3	Q1.4	Q1.5	Q2.3	Q2.3_3_TEXT	Q2.4_1	Q2.4_12	Q2.4_2	Q2.4_13	Q2.4_3	Q2.4_4	Q2.4_5	Q2.4_6	Q2.4_7	Q2.4_8	Q2.4_9	Q2.4_11	Q2.4_10	Q2.4_10_TEXT	Q3.1_1	Q3.1_2	Q3.1_3	Q3.1_4	Q3.1_5	Q3.1_6	Q3.2	Q3.3	Q3.4	Q4.1_1	Q4.1_2	Q4.1_3	Q4.1_4	Q4.1_5	Q4.1_6	Q4.1_7	Q4.2_1	Q4.2_2	Q4.2_3	Q4.2_4	Q4.2_5	Q4.2_6	Q4.2_7	Q4.2_8	Q5.1_1	Q5.1_2	Q5.1_3	Q5.1_4	Q5.1_5	Q5.1_6	Q6.1	Q6.2	Q6.3_1	Q6.3_2	Q6.3_3	Q6.3_4	Q6.3_5	Q6.3_6	Q6.3_7	Q7.1	Q7.2	Q7.3
72	2	2020-10-21T12:23:12Z	2020-10-21T12:26:49Z	IP Address	100	216	TRUE	2020-10-21T12:26:49Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, October 20, 2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Agree	Agree	Neither Agree nor Disagree	Agree	Agree	Agree	No	Yes	My Internet went down for 45 minutes during the middle of the class, so it was tough to catch up once I was able to get back online.	Strongly Agree	Somewhat Agree	Agree	Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Agree	Agree	Agree	Agree	Agree	Somewhat Agree	Somewhat Agree	Agree	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	Will we have access to the recordings of the lectures if our Internet went out for a prolonged period during the class?	NA	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	NA	NA	NA	A little fast-paced especially with time to work on the exercises.
76	11	2021-02-06T15:02:38Z	2021-02-06T15:31:58Z	IP Address	100	1759	TRUE	2021-02-06T15:31:58Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	No	NA	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Somewhat Agree	Agree	Agree	Agree	Agree	Agree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	group_by and summarize usage in some contests	Tidyverse verbs to subset a dataset	NA	NA	2 days about 2-3 hours each on the weekday	2 days about 2-3 hours each on the weekday	Multiple days in a row about 1 hour each day	Multiple days spread across multiple weeks on the weekdays	Multiple days spread across multiple weeks on the weekends	An example of how an instructor helped to improve my learning was in a course a recent followed during an online learning course, where the Professor explained how to make regression analysis using practical examples such as clinical trials and explained with enthusiasm the procedure how to make the analysis as well as the interpretation of results. He has used a video presentation and provided all necessary materials for the content of the video.	The application of the analysis procedure.	In my personal experience two hours were too long. I would have split the workshop in a way to do just one hour each time.
80	9	2021-02-05T01:27:19Z	2021-02-05T01:44:48Z	IP Address	100	1049	TRUE	2021-02-05T01:44:49Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	No	NA	Strongly Agree	Strongly Agree	Agree	Agree	Somewhat Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	Somewhat Agree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	More statistical analyses related topics for biomedical research! That was my favorite and most needed part.	NA	1 day 4-5 hour workshop on the weekday	NA	NA	NA	NA	NA	NA	The instructor and helper were very approachable and set a tone of ""safeness and inclusion"" (regarding asking questions or reaching out for help and including captioning, highlighting that they value accessibility even though I did not require this, I notice and note these kinds of things and it affects my overall feel about a workshop) and that tone is so important for learners to really feel comfortable with learning new things about coding.	I liked the use of real data that we as biomedical/clinical researcher would use. I like learning concepts and then applying them in real ways using relevant data to I will use in my own research.	The live coding aspect could be greatly improved. And the pace was very fast, without any checking in on the learners to see if the pace needed to change. It was also completely unclear to me if learners were supposed to participate, despite there being exercises discussed in the workshop.
85	14	2021-02-06T06:38:16Z	2021-02-06T06:39:28Z	IP Address	38	72	FALSE	2021-02-13T06:39:31Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
86	16	2021-05-18T20:31:17Z	2021-05-18T20:34:37Z	IP Address	100	200	TRUE	2021-05-18T20:34:38Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Other	may 17 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Strongly Agree	Neither Agree nor Disagree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	Not appliciable	NA	Somewhat Agree	Somewhat Disagree	Agree	Agree	Neither Agree nor Disagree	Somewhat Agree	Agree	Agree	Somewhat Agree	Agree	Somewhat Agree	Somewhat Agree	Somewhat Disagree	Disagree	Neither Agree nor Disagree	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	NA	NA	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	NA	NA	NA	NA
87	17	2021-05-18T20:27:00Z	2021-05-18T20:34:50Z	IP Address	100	470	TRUE	2021-05-18T20:34:51Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Other	05/17/21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Strongly Agree	Somewhat Agree	Agree	Strongly Agree	Agree	Strongly Agree	No	No	NA	Disagree	Neither Agree nor Disagree	Somewhat Agree	Agree	Somewhat Agree	Strongly Agree	Strongly Agree	Agree	Somewhat Agree	Agree	Agree	Somewhat Agree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	troubleshooting and using existing documentation	I would remove some of the basics around spreadsheets, that's relatively common knowledge not exclusive to R software	NA	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	Immediately answered a chat question of mine and told me how to download something I needed	I enjoyed the direct interactivity and the casual nature despite the Zoom platform	I did not like the speed at which some topics (namely stats and plotting) were glazed over at the end for the sake of time
91	22	2021-05-25T16:49:48Z	2021-05-25T16:55:20Z	IP Address	100	331	TRUE	2021-05-25T16:55:20Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Other	may 17, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	No	NA	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	NA	NA	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	NA	NA	NA	NA
92	20	2021-05-18T20:30:55Z	2021-05-18T20:42:28Z	IP Address	100	693	TRUE	2021-05-18T20:42:29Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Other	May 17, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Agree	Neither Agree nor Disagree	Agree	Agree	Agree	Strongly Agree	No	No	NA	Agree	Agree	Agree	Agree	Agree	Strongly Agree	Strongly Agree	Agree	Somewhat Agree	Agree	Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Neither Agree nor Disagree	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through, but not confident I could do it	NA	NA	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	NA	I appreciated the instructor's pace and approachability.	I thought the instructor was helpful and friendly and make the subject matter seem approachable.	On the first day, I found it challenging when we were given an exercise to try and simultaneously told to take a break. I think it would have been easier to use the Zoom transcription feature, as I could have turned that off (I found it distracting to have the text scrolling along the screen).
93	15	2021-05-18T19:48:48Z	2021-05-18T20:27:23Z	IP Address	100	2315	TRUE	2021-05-18T20:27:23Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Other	5/17/21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Somewhat Agree	Somewhat Agree	Somewhat Disagree	Strongly Agree	Agree	Strongly Agree	No	No	NA	Agree	Somewhat Agree	Somewhat Agree	Neither Agree nor Disagree	Somewhat Disagree	Somewhat Agree	Agree	Strongly Agree	Neither Agree nor Disagree	Somewhat Agree	Somewhat Disagree	Somewhat Disagree	Somewhat Agree	Disagree	Disagree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through, but not confident I could do it	I could do it quickly with little or no use of external help	I wouldn’t know where to start	I really think day 2 needed to be split into 2 days, one for plotting and one for statistics. This would also allow for more time on cleaning and converting datasets which felt very rushed compared to other parts of the class.	NA	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	NA	Overall Daniel did a great job. I think having the code snippets ahead of time would help us go through the examples faster since this was a little bit of a speed course	It gives you an idea of what we COULD do	I don't think it really helped us to actually DO anything in R. I kept encountering code errors and then I would get behind and frustrated, then lose my place altogether
95	19	2021-05-18T20:32:06Z	2021-05-18T20:41:06Z	IP Address	100	540	TRUE	2021-05-18T20:41:07Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Other	Monday, 5-17, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Somewhat Disagree	Strongly Disagree	Somewhat Disagree	Strongly Agree	Strongly Agree	Strongly Agree	No	Yes	no camera not microphone on my work computer	Neither Agree nor Disagree	Strongly Disagree	Somewhat Disagree	Somewhat Disagree	Disagree	Neither Agree nor Disagree	Somewhat Agree	Somewhat Agree	Somewhat Disagree	Agree	Neither Agree nor Disagree	Strongly Agree	Neither Agree nor Disagree	Neither Agree nor Disagree	Strongly Disagree	I could struggle through, but not confident I could do it	I could struggle through, but not confident I could do it	I could struggle through, but not confident I could do it	I could struggle through, but not confident I could do it	I could struggle through, but not confident I could do it	I could struggle through, but not confident I could do it	not sure	not sure	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	NA	Daniel was very enthusiastic about the material and clearly wants others to share his enjoyment	everyone was very patient and understanding of the different level of background we brought to class	Daniel would leave  screen on zoom before I was done reading thru things.  I could not control his screen to return to the info I missed.  This caused me to get utterly lost by the second day of class
